Price,Close,High,Low,Open,Volume,RSI,EMA12,MACD,Signal_Line,Signal
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,,,,,
Date,,,,,,,,,,
2024-05-09,169.15130615234375,169.87782842770906,167.37976174414283,168.58401102643612,15346700,67.94846363309748,165.2892370255216,3.654790022198398,166.46620801730262,0.0
2024-05-10,167.84751892089844,169.0418211972959,165.39923266388908,167.2304738812949,29799900,64.27417414442212,165.68281885557957,3.58814430280637,166.74247019802178,0.0
2024-05-13,168.33518981933594,168.47452305757707,163.2196478065062,163.47840519575857,31327600,63.001923431381066,166.09087592692669,3.533940984037713,167.0610141222846,0.0
2024-05-14,169.5294647216797,170.4351382983431,167.99679921101946,168.96218485890324,25127100,63.29143792037811,166.61988958765792,3.5464709574511346,167.5547042421636,0.0
2024-05-15,171.6891632080078,171.82849645723252,169.69867954126346,169.81811888787405,26948400,70.03152661122785,167.39977783694252,3.6881559046763925,168.38159603533245,-1.0
2024-05-16,173.35121154785156,174.28674128104558,171.86831096693263,172.46544694250113,27867900,54.14036418125259,168.31538302323622,3.8897174157415577,169.37551913783628,0.0
2024-05-17,175.22227478027344,175.43128224723478,172.86355649440316,173.3512152736709,24479300,71.534152580375,169.3779817550881,4.1525673199801645,170.54487026632373,-1.0
2024-05-20,176.0781707763672,177.9193741112275,175.24217134065958,175.3516485419678,22554400,84.48773723970662,170.40878006605408,4.379457753815842,171.65153036833243,-1.0
2024-05-21,177.00375366210938,177.3023140421263,174.9734519608894,176.05826183810862,16989400,84.37340373114425,171.42339138852412,4.581148235554679,172.7219750270878,-1.0
2024-05-22,175.54075622558594,176.30708148924128,174.37632512413728,175.79951363051288,17880000,75.60335431455748,172.0568321326875,4.570254678042744,173.28573126678745,-1.0
2024-05-23,172.72422790527344,177.40186161179759,172.12707671457434,176.22748350592448,21024900,64.83310615655087,172.159508405393,4.284956843294282,173.17343059448464,0.0
2024-05-24,174.15737915039062,174.93366658897898,172.82374351187994,174.1474170125974,16572500,65.7665970365204,172.46687313539263,4.126926937124125,173.37022030566584,0.0
2024-05-28,175.56063842773438,176.42650907586395,173.54029889240527,173.61992005465763,20572200,62.80455728551192,172.9428370265221,4.068024737182043,173.80830393007955,0.0
2024-05-29,175.06301879882812,175.99854847921964,173.88864081616407,174.59525395863238,23388700,67.39591966299626,173.26901883764612,3.935820880936575,174.05924690382926,0.0
2024-05-30,171.2910614013672,174.3862639091637,170.97257674604643,174.36635482166008,22958700,54.89746582485198,172.9647176936032,3.48649281506718,173.50560980333688,0.0
2024-05-31,171.67921447753906,172.23654746866202,168.63377692877057,171.0422603182292,37638900,59.15363989087691,172.76694796805486,3.125686822926042,173.14033073817734,0.0
2024-06-03,172.3460235595703,173.69955303760383,170.3455929752159,171.71901635552842,27459100,59.500275408015895,172.70219036674956,2.8605764501806448,172.98146930245596,0.0
2024-06-04,172.96307373046875,173.0228009976231,171.07212029758608,172.45550585604707,26879600,58.36167937376865,172.7423262688602,2.6694931068172423,172.97779018805852,0.0
2024-06-05,174.5753631591797,175.80945323933747,173.10239440013726,174.36635570479385,22068500,57.22113036745876,173.02433194429398,2.6179780417223526,173.29730478228277,0.0
2024-06-06,175.88906860351562,176.30706831231922,174.91373594964054,175.06301613629049,23251000,56.462235083757555,173.4650606610973,2.652579743640956,173.81565754652934,0.0
2024-06-07,173.62989807128906,177.0236612038553,173.47065573222022,176.20757079195172,19661400,46.02386337312087,173.49042026266528,2.4692417782583505,173.7785056514813,0.0
2024-06-10,174.37716674804688,176.41975708694557,172.13530264029285,174.3373180757214,23779200,45.729455977505104,173.62684279887782,2.357072591238307,173.89823787079445,0.0
2024-06-11,175.98133850097656,176.20054419886765,173.14165320239113,175.58279097950916,21540600,47.51770264593152,173.989072906893,2.3702976404877916,174.31485799683088,0.0
2024-06-12,177.1470947265625,179.75763099848155,175.47317699825936,177.605438030424,27864700,53.957104956708775,174.4749224176114,2.4466420060093412,174.8813053427772,0.0
2024-06-13,174.52662658691406,176.10091514486052,174.24764028080844,175.4731883543162,20913300,54.48339365746419,174.4828769051964,2.269533813941621,174.8103695916046,0.0
2024-06-14,176.15072631835938,176.419754263997,173.52027308216327,173.59002726213419,18063600,54.91171131608115,174.7394691226061,2.234468014528744,175.07844093695556,0.0
2024-06-17,176.59910583496094,177.715051051079,174.17788480631722,174.82554352922475,19618500,52.68519636413278,175.025567078353,2.2172989534694523,175.38257391655665,0.0
2024-06-18,174.45687866210938,176.74856500464978,173.47046818859647,176.49946899358264,21869900,48.55553713190269,174.93807655277706,2.0076891288397576,175.19743486566722,0.0
2024-06-20,175.66250610351562,176.64891655489416,174.35724546739127,174.73586105725994,20160100,61.86913611140342,175.0495272528907,1.916760667503155,175.2904491132369,0.0
2024-06-21,178.98046875,180.19605848680078,175.9713847127052,176.3599738775111,58582700,67.10297276720769,175.6542874832152,2.0883577745230184,176.02845304058954,0.0
2024-06-24,178.5719451904297,180.23590467855502,178.02393093898397,179.50854860133447,18298000,64.76267386814749,176.10315789970974,2.1664122294073707,176.5371514705576,0.0
2024-06-25,183.3645477294922,183.6236020982057,178.77121684563144,178.97049060645827,23235600,70.58698818002316,177.22029479659935,2.5851934182088314,177.90263072234453,-1.0
2024-06-26,183.215087890625,183.84279944854669,181.82014122095,181.9696079374934,19839000,68.15112209314626,178.1425706572187,2.8719147223663697,178.96512215600063,0.0
2024-06-27,184.73956298828125,185.37724814669312,183.35458982218609,183.51399970907897,18848900,68.43070239435868,179.15749255430524,3.1854360969767015,180.12001032245678,0.0
2024-06-28,181.49134826660156,184.46058367632295,181.30204806851228,183.65351502999962,29156600,65.72338023010957,179.51654727927388,3.1356543916288047,180.39427791128574,0.0
2024-07-01,182.3283233642578,183.21510456344126,180.64443188180954,182.3681720367947,16006100,65.84593751843569,179.94912821542525,3.1276849221051464,180.78108700188017,0.0
