Date,Close,High,Low,Open,Volume,RSI,EMA,Ticker
2025-02-06,1337.080078125,1398.4313009528757,1308.6020138059127,1398.4313009528757,118900,53.136765555098734,1320.4945675446431,TPL
2025-02-07,1343.74267578125,1364.7291442745793,1339.27771358591,1344.5617033378096,68200,53.9315253620153,1322.7086730909868,TPL
2025-02-10,1379.642333984375,1388.8620942998475,1361.9722139537316,1361.9722139537316,75900,58.05890839824458,1328.1309265094048,TPL
2025-02-11,1362.5914306640625,1382.329298353749,1355.6891395221244,1381.6999994228122,60200,55.51487913603348,1331.4128792860388,TPL
2025-02-12,1341.655029296875,1364.559268050425,1323.56533610387,1339.4974154259405,110000,52.4744131220238,1332.3883221442136,TPL
2025-02-13,1351.663818359375,1370.4526783892304,1328.5097378489672,1334.6828668229598,68000,53.777718878977865,1334.2240836885148,TPL
2025-02-14,1370.8621826171875,1388.4424365639538,1348.1376751122739,1363.9000221093988,85800,56.25575225745584,1337.7134264436265,TPL
2025-02-18,1409.2591552734375,1415.7318750877428,1375.9065532930526,1386.9742164703728,121000,60.78405919130661,1344.527305379799,TPL
2025-02-19,1403.2957763671875,1438.3864165311531,1399.0405401302673,1418.408827412665,121400,59.74956102258291,1350.124302616693,TPL
2025-02-20,1429.406494140625,1452.0910074733158,1375.5468702010266,1440.6338894246903,149000,62.739738811011605,1357.6749875237342,TPL
2025-02-21,1344.0523681640625,1412.4656158538396,1338.1189604861752,1409.4988510481292,182400,49.73316569178838,1356.3775952037654,TPL
2025-02-24,1292.47021484375,1347.738174037927,1289.283725812831,1347.6881812891925,120900,43.82081408411395,1350.291178026621,TPL
2025-02-25,1287.785400390625,1296.1760125911119,1233.4064588494116,1287.0862335128897,138900,43.31713778878714,1344.338246823193,TPL
2025-02-26,1349.9556884765625,1372.7101934227433,1299.7121213025646,1299.7121213025646,115400,51.31448587900934,1344.873241266371,TPL
2025-02-27,1354.5006103515625,1383.9175630975237,1337.2799373831883,1368.5947855816225,89300,51.84932702995778,1345.7901335601987,TPL
2025-02-28,1426.3499755859375,1433.392125043363,1345.750444866823,1348.207649491023,203300,59.43593614642966,1353.4624994674118,TPL
2025-03-03,1356.3800048828125,1462.780029296875,1338.43994140625,1435.4300537109375,178200,51.007402995258275,1353.7403571260213,TPL
2025-03-04,1367.43994140625,1395.9000244140625,1284.47998046875,1330.0,165200,52.16218459759451,1355.0450794384242,TPL
2025-03-05,1369.1300048828125,1369.1300048828125,1310.0,1330.0,148600,52.34702397151881,1356.3865009093183,TPL
2025-03-06,1304.97998046875,1349.300048828125,1285.68994140625,1340.3599853515625,119200,45.20689122966146,1351.4906418197404,TPL
2025-03-07,1374.739990234375,1388.1300048828125,1305.5999755859375,1325.02001953125,137900,52.753896850448676,1353.704865478277,TPL
2025-03-10,1331.27001953125,1383.530029296875,1300.0,1373.97998046875,154000,48.29038306363663,1351.568213483322,TPL
2025-03-11,1327.4300537109375,1378.5999755859375,1299.97998046875,1340.0400390625,127200,47.90479461772914,1349.2693411240473,TPL
2025-03-12,1347.9300537109375,1371.8299560546875,1313.6700439453125,1351.5799560546875,97200,50.19133788444146,1349.1417899418464,TPL
2025-03-13,1254.8399658203125,1354.5699462890625,1249.510009765625,1344.050048828125,151800,41.32189802322469,1340.1606638350336,TPL
2025-03-14,1321.0699462890625,1325.1600341796875,1262.4100341796875,1269.7099609375,98600,48.31922699132538,1338.3425002592269,TPL
2025-03-17,1339.5899658203125,1348.1700439453125,1308.97998046875,1315.8299560546875,81500,50.110799045179725,1338.46130650314,TPL
2025-03-18,1343.72998046875,1344.0,1325.8399658203125,1344.0,80600,50.5237016276733,1338.9630849760551,TPL
2025-03-19,1384.989990234375,1393.4000244140625,1346.0,1350.0,142300,54.560070360129856,1343.3465997625617,TPL
2025-03-20,1371.47998046875,1386.6700439453125,1354.8499755859375,1370.0,95700,53.03439452263681,1346.0259693536273,TPL
2025-03-21,1273.1500244140625,1359.199951171875,1211.5799560546875,1359.199951171875,395100,43.50002970413959,1339.0854031689069,TPL
2025-03-24,1344.97998046875,1358.739990234375,1273.1199951171875,1289.280029296875,147600,50.50067207123877,1339.6467914831776,TPL
2025-03-25,1362.3599853515625,1370.6800537109375,1339.800048828125,1345.699951171875,101500,52.04883896564097,1341.809952803976,TPL
2025-03-26,1358.75,1411.1700439453125,1349.949951171875,1379.8699951171875,105100,51.68722770843806,1343.4232906321688,TPL
2025-03-27,1331.9100341796875,1365.4599609375,1319.7099609375,1365.4599609375,89400,48.963494871348445,1342.3267900176468,TPL
2025-03-28,1305.7099609375,1342.22998046875,1299.9300537109375,1327.3199462890625,103100,46.39343619720515,1338.8394729623947,TPL
2025-03-31,1324.989990234375,1336.77001953125,1270.0,1295.0,129400,48.534249558710655,1337.520474607345,TPL
2025-04-01,1352.8399658203125,1355.97998046875,1285.989990234375,1314.56005859375,133200,51.54452023179272,1338.9794737704847,TPL
2025-04-02,1391.4300537109375,1392.0,1321.7099609375,1321.7099609375,101500,55.434288380418735,1343.974767098147,TPL
2025-04-03,1220.97998046875,1294.300048828125,1220.4599609375,1291.550048828125,181000,40.11614531168349,1332.2609778953472,TPL
2025-04-04,1079.0,1179.5,1048.4000244140625,1179.5,286000,32.14742712300301,1308.140884762457,TPL
2025-04-07,1153.9100341796875,1186.68994140625,986.9299926757812,1018.47998046875,366700,39.02903479430117,1293.4522323260028,TPL
2025-04-08,1117.489990234375,1213.4100341796875,1077.989990234375,1212.239990234375,192300,37.06102967391495,1276.6939235553714,TPL
2025-04-09,1263.489990234375,1296.5899658203125,1070.760009765625,1103.7099609375,205200,48.31274966291419,1275.436406096229,TPL
2025-04-10,1186.6700439453125,1216.0899658203125,1140.4000244140625,1216.0899658203125,140900,43.868876814375774,1266.9824668437607,TPL
2025-04-11,1236.0999755859375,1240.4599609375,1156.8800048828125,1187.0,100800,47.23220691127015,1264.0412772001584,TPL
2025-04-14,1247.530029296875,1272.8299560546875,1235.0,1272.8299560546875,113600,48.007998809179206,1262.4687773998457,TPL
2025-04-15,1264.27001953125,1294.47998046875,1247.530029296875,1247.530029296875,80500,49.18627991061295,1262.6403242695035,TPL
2025-04-16,1277.5799560546875,1292.18994140625,1258.010009765625,1260.739990234375,114400,50.15355944051286,1264.063146344283,TPL
2025-04-17,1298.6400146484375,1321.9000244140625,1283.010009765625,1300.0,103700,51.719624917243884,1267.3561814208692,TPL
